"DATA";"ABERTURA";"FECHAMENTO";"VARIAÇÃO";"MÍNIMO";"MÁXIMO";"VOLUME"
"09/05/2025";"362,97";"358,10";"-0,40";"357,50";"362,80";"76,63M"
"08/05/2025";"360,71";"359,55";"-0,77";"358,52";"363,65";"73,01M"
"07/05/2025";"359,00";"362,34";"1,06";"359,02";"364,00";"82,69M"
"06/05/2025";"357,99";"358,55";"-0,42";"357,60";"361,72";"74,84M"
"05/05/2025";"357,99";"360,05";"0,01";"356,07";"361,94";"25,17M"
"02/05/2025";"348,71";"360,00";"1,59";"355,79";"361,22";"140,57M"
"30/04/2025";"348,71";"354,35";"1,07";"345,39";"356,27";"106,82M"
"29/04/2025";"351,32";"350,60";"0,39";"348,04";"351,61";"84,11M"
"28/04/2025";"n/d";"349,25";"-0,61";"347,23";"351,90";"39,96M"
"25/04/2025";"349,49";"351,40";"0,66";"347,65";"352,02";"259,11M"
"24/04/2025";"342,83";"349,10";"0,97";"340,11";"349,99";"321,33M"
"23/04/2025";"338,35";"345,75";"1,92";"342,83";"346,06";"160,61M"
"22/04/2025";"n/d";"339,25";"-1,31";"336,01";"340,86";"145,99M"
"17/04/2025";"348,48";"343,75";"-0,77";"343,35";"346,54";"144,92M"
"16/04/2025";"354,45";"346,40";"-2,63";"343,14";"354,80";"200,09M"
"15/04/2025";"354,45";"355,75";"0,37";"354,94";"358,90";"274,70M"
"14/04/2025";"356,00";"354,45";"0,84";"352,07";"356,90";"131,07M"
"11/04/2025";"347,00";"351,50";"1,15";"349,42";"354,00";"680,23M"
"10/04/2025";"338,00";"347,50";"-2,42";"341,12";"356,10";"398,55M"
"09/04/2025";"338,00";"356,10";"6,49";"356,10";"356,10";"164,53M"
"08/04/2025";"343,00";"334,40";"0,02";"330,30";"334,40";"465,15M"
"07/04/2025";"325,00";"334,35";"0,77";"332,81";"335,50";"247,67M"
"04/04/2025";"339,00";"331,78";"-2,37";"331,78";"337,47";"567,74M"
"03/04/2025";"343,50";"339,84";"-6,43";"339,77";"342,85";"439,93M"
"02/04/2025";"358,28";"363,21";"1,31";"353,08";"363,21";"139,59M"
"01/04/2025";"357,00";"358,50";"-0,06";"355,25";"359,78";"146,96M"
"31/03/2025";"357,00";"358,70";"-0,32";"353,60";"359,50";"96,20M"
"28/03/2025";"367,99";"359,85";"-1,72";"359,25";"367,53";"200,98M"
"27/03/2025";"367,99";"366,15";"-0,08";"366,15";"368,67";"210,47M"
"26/03/2025";"370,00";"366,45";"-0,60";"365,14";"370,91";"181,68M"
"25/03/2025";"368,53";"368,65";"-0,63";"367,14";"371,25";"178,65M"
"24/03/2025";"368,53";"371,00";"2,30";"367,46";"371,60";"95,67M"
"21/03/2025";"357,14";"362,65";"0,96";"358,54";"362,65";"104,76M"
"20/03/2025";"357,71";"359,20";"0,08";"357,02";"362,50";"175,73M"
"19/03/2025";"360,00";"358,90";"0,55";"356,88";"360,60";"252,51M"
"18/03/2025";"360,50";"356,95";"-1,15";"355,06";"360,69";"286,89M"
"17/03/2025";"360,50";"361,10";"-0,25";"359,22";"365,05";"157,07M"
"14/03/2025";"364,73";"362,00";"1,04";"357,60";"362,23";"189,19M"
"13/03/2025";"366,98";"358,29";"-1,48";"358,00";"365,95";"150,66M"
"12/03/2025";"367,85";"363,67";"0,18";"361,69";"370,00";"297,47M"
"11/03/2025";"369,74";"363,00";"-1,35";"361,50";"367,85";"303,37M"
"10/03/2025";"369,74";"367,95";"-1,59";"365,41";"370,51";"148,88M"
"07/03/2025";"370,70";"373,90";"0,86";"367,16";"374,98";"206,50M"
"06/03/2025";"375,23";"370,70";"-1,58";"368,16";"374,85";"260,79M"
"05/03/2025";"375,23";"376,65";"-4,09";"373,21";"378,18";"145,61M"
"28/02/2025";"389,24";"392,70";"2,40";"382,90";"392,70";"149,82M"
"27/02/2025";"384,69";"383,50";"-0,87";"383,06";"390,09";"109,87M"
"26/02/2025";"388,40";"386,88";"1,01";"383,77";"389,48";"104,94M"
"25/02/2025";"386,46";"383,00";"-1,10";"381,93";"388,88";"102,97M"
"24/02/2025";"386,46";"387,25";"0,49";"385,50";"388,10";"50,49M"
